==== 10.0 Build 22631 ====

KeInitializeEnumerationContextFromGroup :: 00007FF71F0C7440
KeInitializeEvent :: 00007FF71EED3F50
KeInitializeGuardedMutex :: 00007FF71EF747D0
KeInitializeInterrupt :: 00007FF71EFF1640
KeInitializeMutant :: 00007FF71F040B40
KeInitializeMutex :: 00007FF71EFA95D0
KeInitializeQueue :: 00007FF71EF67A60
KeInitializeSecondaryInterruptServices :: 00007FF71F4B2990
KeInitializeSemaphore :: 00007FF71EEC28A0
KeInitializeSpinLock :: 00007FF71EF9E760
KeInitializeThreadedDpc :: 00007FF71EFE1FB0
KeInitializeTimer :: 00007FF71EF25080
KeInitializeTimer2 :: 00007FF71EF74500
KeInitializeTimerEx :: 00007FF71EF250B0
KeInitializeTriageDumpDataArray :: 00007FF71F012B90
KeInsertByKeyDeviceQueue :: 00007FF71F0C74A0
KeInsertDeviceQueue :: 00007FF71F1E06C0
KeInsertHeadQueue :: 00007FF71F1E0CC0
KeInsertQueue :: 00007FF71EFC1F10
KeInsertQueueApc :: 00007FF71EEAECE0
KeInsertQueueDpc :: 00007FF71EEFFC90
KeInterlockedClearProcessorAffinityEx :: 00007FF71EFAA090
KeInterlockedSetProcessorAffinityEx :: 00007FF71EFADCE0
KeInvalidateAllCaches :: 00007FF71EFCF340
KeInvalidateRangeAllCaches :: 00007FF71F0C7560
KeInvalidateRangeAllCachesNoIpi :: 00007FF71EF21290
KeIpiGenericCall :: 00007FF71F007390
KeIsAttachedProcess :: 00007FF71EF285E0
KeIsEmptyAffinityEx :: 00007FF71EF26BF0
KeIsEqualAffinityEx :: 00007FF71EF26220
KeIsExecutingDpc :: 00007FF71EE93E70
KeIsSingleGroupAffinityEx :: 00007FF71EFCA280
KeIsSubsetAffinityEx :: 00007FF71EFBC350
KeIsWaitListEmpty :: 00007FF71F5DEB50
KeLastBranchMSR :: 00007FF71F98F244
KeLeaveCriticalRegion :: 00007FF71EE92F70
KeLeaveGuardedRegion :: 00007FF71EF861F0
KeLoadMTRR :: 00007FF71F6FBE70
KeLoaderBlock :: 00007FF71F994E88
KeLowerIrql :: 00007FF71EE8E7A0
KeNotifyProcessorFreezeSupported :: 00007FF71EFD0700
KeNumberProcessors :: 00007FF71F98EC0D
KeOrAffinityEx :: 00007FF71F1DC890
KeOrAffinityEx2 :: 00007FF71F1DC8B0
KePrepareToDispatchVirtualProcessor :: 00007FF71F0C76A0
KeProcessorGroupAffinity :: 00007FF71EF68950
KeProfileInterruptWithSource :: 00007FF71F1E1450
KePulseEvent :: 00007FF71EF65890
KeQueryActiveGroupCount :: 00007FF71EF49960
KeQueryActiveProcessorAffinity :: 00007FF71F1DDC00
KeQueryActiveProcessorAffinity2 :: 00007FF71EFFFDA0
KeQueryActiveProcessorCount :: 00007FF71F020B00
KeQueryActiveProcessorCountEx :: 00007FF71EF68C80
KeQueryActiveProcessors :: 00007FF71F0C6FB0
